日期,股票代號,股票名稱,股數,權重
2025-05-02,2330,台灣積體電路製造,87000,5.89
2025-05-02,2317,鴻海精密工業,507000,5.33
2025-05-02,2454,聯發科技,51000,4.73
2025-05-02,2881,富邦金融控股,774000,4.69
2025-05-02,2308,台達電子工業,165000,4.17
2025-05-02,2382,廣達電腦,213000,3.81
2025-05-02,2357,華碩電腦,90000,3.79
2025-05-02,2891,中國信託金融控股,1059000,3.04
2025-05-02,2345,智邦科技,51000,2.26
2025-05-02,8016,矽創電子,141000,2.15
2025-05-02,6121,新普科技,84000,2.14
2025-05-02,4915,致伸科技,384000,2.09
2025-05-02,8039,台虹科技,663000,2.08
2025-05-02,6257,矽格,387000,2
2025-05-02,3044,健鼎科技,144000,1.93
2025-05-02,6669,緯穎科技服務,12000,1.77
2025-05-02,6223,旺矽科技,36000,1.74
2025-05-02,3653,健策精密工業,24000,1.72
2025-05-02,5434,崇越科技,96000,1.71
2025-05-02,3702,大聯大控股,342000,1.67
2025-05-02,3293,鈊象電子,27000,1.63
2025-05-02,2383,台光電子材料,36000,1.57
2025-05-02,5904,寶雅國際,45000,1.54
2025-05-02,6442,光紅建聖,57000,1.51
2025-05-02,2610,中華航空,996000,1.51
2025-05-02,3665,貿聯控股（BizLink Holding In,36000,1.51
2025-05-02,3533,嘉澤端子工業,15000,1.41
2025-05-02,2883,凱基金融控股,1101000,1.29
2025-05-02,3017,奇鋐科技,33000,1.19
2025-05-02,3131,弘塑科技,18000,1.19
2025-05-02,3529,力旺電子,6000,1.09
2025-05-02,6446,藥華醫藥,24000,0.92
2025-05-02,6187,萬潤科技,48000,0.92
2025-05-02,3491,昇達科技,33000,0.89
2025-05-02,3706,神達控股,228000,0.87
2025-05-02,5234,達興材料,72000,0.87
2025-05-02,1702,南僑投資控股,240000,0.81
2025-05-02,2059,川湖科技,6000,0.79
2025-05-02,2360,致茂電子,34000,0.78
2025-05-02,3526,凡甲科技,42000,0.74
2025-05-02,3227,原相科技,45000,0.7
2025-05-02,9945,潤泰創新國際,270000,0.63
2025-05-02,8114,振樺電子,30000,0.57
2025-05-02,2393,億光電子工業,102000,0.56
2025-05-02,6670,復盛應用科技,21000,0.52
2025-05-02,3714,富采投資控股,186000,0.5
2025-05-02,3450,聯鈞光電,33000,0.49
2025-05-02,6274,台燿科技,48000,0.49
2025-05-02,8028,昇陽國際半導體,51000,0.48
2025-05-02,6811,宏碁資訊服務,27000,0.47
2025-05-02,6863,Arizon RFID Technology,36000,0.47
2025-05-02,3211,順達科技,36000,0.47
2025-05-02,6561,是方電訊,15000,0.45
2025-05-02,3605,宏致電子,120000,0.43
2025-05-05,2330,台灣積體電路製造,87000,5.92
2025-05-05,2317,鴻海精密工業,507000,5.24
2025-05-05,2454,聯發科技,51000,4.79
2025-05-05,2881,富邦金融控股,774000,4.49
2025-05-05,2308,台達電子工業,165000,4.29
2025-05-05,2382,廣達電腦,213000,3.81
2025-05-05,2357,華碩電腦,90000,3.76
2025-05-05,2891,中國信託金融控股,1059000,3.02
2025-05-05,2345,智邦科技,51000,2.27
2025-05-05,6121,新普科技,84000,2.15
2025-05-05,8016,矽創電子,141000,2.14
2025-05-05,4915,致伸科技,384000,2.05
2025-05-05,8039,台虹科技,663000,2.01
2025-05-05,6257,矽格,387000,1.98
2025-05-05,3044,健鼎科技,144000,1.93
2025-05-05,6669,緯穎科技服務,12000,1.78
2025-05-05,3653,健策精密工業,24000,1.75
2025-05-05,6223,旺矽科技,36000,1.72
2025-05-05,5434,崇越科技,96000,1.71
2025-05-05,3702,大聯大控股,342000,1.68
2025-05-05,5904,寶雅國際,45000,1.67
2025-05-05,2383,台光電子材料,36000,1.63
2025-05-05,3293,鈊象電子,27000,1.62
2025-05-05,2610,中華航空,996000,1.61
2025-05-05,3665,貿聯控股（BizLink Holding In,36000,1.58
2025-05-05,6442,光紅建聖,57000,1.4
2025-05-05,3533,嘉澤端子工業,15000,1.39
2025-05-05,2883,凱基金融控股,1101000,1.27
2025-05-05,3017,奇鋐科技,33000,1.2
2025-05-05,3131,弘塑科技,18000,1.17
2025-05-05,3529,力旺電子,6000,1.13
2025-05-05,6446,藥華醫藥,24000,0.94
2025-05-05,6187,萬潤科技,48000,0.91
2025-05-05,3491,昇達科技,33000,0.88
2025-05-05,3706,神達控股,228000,0.84
2025-05-05,5234,達興材料,72000,0.84
2025-05-05,1702,南僑投資控股,240000,0.84
2025-05-05,2059,川湖科技,6000,0.79
2025-05-05,2360,致茂電子,34000,0.78
2025-05-05,3526,凡甲科技,42000,0.71
2025-05-05,3227,原相科技,45000,0.68
2025-05-05,9945,潤泰創新國際,270000,0.61
2025-05-05,8114,振樺電子,30000,0.59
2025-05-05,2393,億光電子工業,102000,0.57
2025-05-05,6670,復盛應用科技,21000,0.51
2025-05-05,3714,富采投資控股,186000,0.49
2025-05-05,3211,順達科技,36000,0.48
2025-05-05,8028,昇陽國際半導體,51000,0.48
2025-05-05,6274,台燿科技,48000,0.48
2025-05-05,6811,宏碁資訊服務,27000,0.47
2025-05-05,3450,聯鈞光電,33000,0.47
2025-05-05,6561,是方電訊,15000,0.46
2025-05-05,6863,Arizon RFID Technology,36000,0.45
2025-05-05,3605,宏致電子,120000,0.41
2025-05-06,2330,台灣積體電路製造,87000,6.1
2025-05-06,2317,鴻海精密工業,507000,5.64
2025-05-06,2454,聯發科技,51000,4.97
2025-05-06,2881,富邦金融控股,774000,4.66
2025-05-06,2308,台達電子工業,165000,4.51
2025-05-06,2382,廣達電腦,213000,4.12
2025-05-06,2357,華碩電腦,90000,4.02
2025-05-06,2891,中國信託金融控股,1059000,3.23
2025-05-06,2345,智邦科技,51000,2.48
2025-05-06,6121,新普科技,84000,2.29
2025-05-06,8016,矽創電子,141000,2.25
2025-05-06,4915,致伸科技,384000,2.21
2025-05-06,8039,台虹科技,663000,2.13
2025-05-06,6257,矽格,387000,2.09
2025-05-06,3044,健鼎科技,144000,2.02
2025-05-06,3653,健策精密工業,24000,1.94
2025-05-06,6669,緯穎科技服務,12000,1.94
2025-05-06,6223,旺矽科技,36000,1.8
2025-05-06,5434,崇越科技,96000,1.78
2025-05-06,3293,鈊象電子,27000,1.75
2025-05-06,3702,大聯大控股,342000,1.74
2025-05-06,2610,中華航空,996000,1.74
2025-05-06,2383,台光電子材料,36000,1.71
2025-05-06,5904,寶雅國際,45000,1.71
2025-05-06,3665,貿聯控股（BizLink Holding In,36000,1.64
2025-05-06,6442,光紅建聖,57000,1.5
2025-05-06,3533,嘉澤端子工業,15000,1.46
2025-05-06,2883,凱基金融控股,1101000,1.35
2025-05-06,3017,奇鋐科技,33000,1.29
2025-05-06,3131,弘塑科技,18000,1.24
2025-05-06,3529,力旺電子,6000,1.17
2025-05-06,6446,藥華醫藥,24000,0.97
2025-05-06,6187,萬潤科技,48000,0.95
2025-05-06,3491,昇達科技,33000,0.93
2025-05-06,5234,達興材料,72000,0.91
2025-05-06,3706,神達控股,228000,0.9
2025-05-06,1702,南僑投資控股,240000,0.89
2025-05-06,2059,川湖科技,6000,0.85
2025-05-06,2360,致茂電子,34000,0.81
2025-05-06,3526,凡甲科技,42000,0.74
2025-05-06,3227,原相科技,45000,0.72
2025-05-06,9945,潤泰創新國際,270000,0.65
2025-05-06,8114,振樺電子,30000,0.62
2025-05-06,2393,億光電子工業,102000,0.6
2025-05-06,8028,昇陽國際半導體,51000,0.53
2025-05-06,6670,復盛應用科技,21000,0.53
2025-05-06,3450,聯鈞光電,33000,0.52
2025-05-06,3714,富采投資控股,186000,0.52
2025-05-06,6274,台燿科技,48000,0.51
2025-05-06,6811,宏碁資訊服務,27000,0.5
2025-05-06,3211,順達科技,36000,0.5
2025-05-06,6863,Arizon RFID Technology,36000,0.49
2025-05-06,6561,是方電訊,15000,0.48
2025-05-06,3605,宏致電子,120000,0.44
2025-05-07,2330,台灣積體電路製造,87000,6.17
2025-05-07,2317,鴻海精密工業,507000,5.62
2025-05-07,2454,聯發科技,51000,4.97
2025-05-07,2881,富邦金融控股,774000,4.61
2025-05-07,2308,台達電子工業,165000,4.58
2025-05-07,2382,廣達電腦,213000,4.14
2025-05-07,2357,華碩電腦,90000,4.09
2025-05-07,2891,中國信託金融控股,1059000,3.21
2025-05-07,2345,智邦科技,51000,2.46
2025-05-07,6121,新普科技,84000,2.3
2025-05-07,8016,矽創電子,141000,2.24
2025-05-07,4915,致伸科技,384000,2.2
2025-05-07,8039,台虹科技,663000,2.15
2025-05-07,6257,矽格,387000,2.09
2025-05-07,3044,健鼎科技,144000,2.06
2025-05-07,3653,健策精密工業,24000,1.95
2025-05-07,6669,緯穎科技服務,12000,1.92
2025-05-07,6223,旺矽科技,36000,1.8
2025-05-07,5434,崇越科技,96000,1.78
2025-05-07,3702,大聯大控股,342000,1.77
2025-05-07,5904,寶雅國際,45000,1.75
2025-05-07,3293,鈊象電子,27000,1.73
2025-05-07,2610,中華航空,996000,1.7
2025-05-07,2383,台光電子材料,36000,1.68
2025-05-07,3665,貿聯控股（BizLink Holding In,36000,1.62
2025-05-07,6442,光紅建聖,57000,1.57
2025-05-07,3533,嘉澤端子工業,15000,1.4
2025-05-07,2883,凱基金融控股,1101000,1.34
2025-05-07,3017,奇鋐科技,33000,1.3
2025-05-07,3131,弘塑科技,18000,1.23
2025-05-07,3529,力旺電子,6000,1.13
2025-05-07,6187,萬潤科技,48000,0.94
2025-05-07,6446,藥華醫藥,24000,0.92
2025-05-07,3491,昇達科技,33000,0.91
2025-05-07,5234,達興材料,72000,0.91
2025-05-07,3706,神達控股,228000,0.9
2025-05-07,1702,南僑投資控股,240000,0.89
2025-05-07,2059,川湖科技,6000,0.86
2025-05-07,2360,致茂電子,34000,0.79
2025-05-07,3526,凡甲科技,42000,0.74
2025-05-07,3227,原相科技,45000,0.71
2025-05-07,9945,潤泰創新國際,270000,0.64
2025-05-07,8114,振樺電子,30000,0.62
2025-05-07,2393,億光電子工業,102000,0.6
2025-05-07,6670,復盛應用科技,21000,0.54
2025-05-07,6274,台燿科技,48000,0.52
2025-05-07,6811,宏碁資訊服務,27000,0.51
2025-05-07,8028,昇陽國際半導體,51000,0.51
2025-05-07,3211,順達科技,36000,0.51
2025-05-07,3450,聯鈞光電,33000,0.51
2025-05-07,3714,富采投資控股,186000,0.51
2025-05-07,6863,Arizon RFID Technology,36000,0.48
2025-05-07,6561,是方電訊,15000,0.47
2025-05-07,3605,宏致電子,120000,0.44
2025-05-08,2330,台灣積體電路製造,87000,6.03
2025-05-08,2317,鴻海精密工業,507000,5.59
2025-05-08,2454,聯發科技,51000,4.97
2025-05-08,2308,台達電子工業,165000,4.63
2025-05-08,2881,富邦金融控股,774000,4.56
2025-05-08,2382,廣達電腦,213000,4.04
2025-05-08,2357,華碩電腦,90000,4.04
2025-05-08,2891,中國信託金融控股,1059000,3.17
2025-05-08,2345,智邦科技,51000,2.5
2025-05-08,6121,新普科技,84000,2.31
2025-05-08,4915,致伸科技,384000,2.25
2025-05-08,8016,矽創電子,141000,2.21
2025-05-08,8039,台虹科技,663000,2.15
2025-05-08,3044,健鼎科技,144000,2.09
2025-05-08,6257,矽格,387000,2.08
2025-05-08,3653,健策精密工業,24000,1.98
2025-05-08,6669,緯穎科技服務,12000,1.95
2025-05-08,6223,旺矽科技,36000,1.82
2025-05-08,2383,台光電子材料,36000,1.8
2025-05-08,5434,崇越科技,96000,1.79
2025-05-08,3702,大聯大控股,342000,1.76
2025-05-08,3293,鈊象電子,27000,1.75
2025-05-08,5904,寶雅國際,45000,1.72
2025-05-08,2610,中華航空,996000,1.7
2025-05-08,6442,光紅建聖,57000,1.67
2025-05-08,3665,貿聯控股（BizLink Holding In,36000,1.64
2025-05-08,3533,嘉澤端子工業,15000,1.42
2025-05-08,2883,凱基金融控股,1101000,1.34
2025-05-08,3017,奇鋐科技,33000,1.31
2025-05-08,3131,弘塑科技,18000,1.24
2025-05-08,3529,力旺電子,6000,1.1
2025-05-08,6187,萬潤科技,48000,0.95
2025-05-08,6446,藥華醫藥,24000,0.93
2025-05-08,3706,神達控股,228000,0.91
2025-05-08,5234,達興材料,72000,0.91
2025-05-08,1702,南僑投資控股,240000,0.88
2025-05-08,2059,川湖科技,6000,0.87
2025-05-08,3491,昇達科技,33000,0.86
2025-05-08,2360,致茂電子,34000,0.81
2025-05-08,3526,凡甲科技,42000,0.74
2025-05-08,3227,原相科技,45000,0.72
2025-05-08,8114,振樺電子,30000,0.64
2025-05-08,9945,潤泰創新國際,270000,0.63
2025-05-08,2393,億光電子工業,102000,0.6
2025-05-08,6670,復盛應用科技,21000,0.55
2025-05-08,6274,台燿科技,48000,0.55
2025-05-08,6811,宏碁資訊服務,27000,0.53
2025-05-08,3211,順達科技,36000,0.51
2025-05-08,3714,富采投資控股,186000,0.51
2025-05-08,8028,昇陽國際半導體,51000,0.5
2025-05-08,6863,Arizon RFID Technology,36000,0.48
2025-05-08,6561,是方電訊,15000,0.47
2025-05-08,3450,聯鈞光電,33000,0.46
2025-05-08,3605,宏致電子,120000,0.45
2025-05-09,2330,台灣積體電路製造,87000,6.16
2025-05-09,2317,鴻海精密工業,507000,5.56
2025-05-09,2454,聯發科技,51000,5.04
2025-05-09,2308,台達電子工業,165000,4.6
2025-05-09,2881,富邦金融控股,774000,4.47
2025-05-09,2382,廣達電腦,213000,4.07
2025-05-09,2357,華碩電腦,90000,4.04
2025-05-09,2891,中國信託金融控股,1059000,3.15
2025-05-09,2345,智邦科技,51000,2.53
2025-05-09,6121,新普科技,84000,2.31
2025-05-09,8016,矽創電子,141000,2.2
2025-05-09,4915,致伸科技,384000,2.2
2025-05-09,8039,台虹科技,663000,2.14
2025-05-09,3044,健鼎科技,144000,2.09
2025-05-09,6257,矽格,387000,2.07
2025-05-09,3653,健策精密工業,24000,2
2025-05-09,6669,緯穎科技服務,12000,1.97
2025-05-09,2383,台光電子材料,36000,1.82
2025-05-09,6442,光紅建聖,57000,1.81
2025-05-09,6223,旺矽科技,36000,1.8
2025-05-09,5434,崇越科技,96000,1.77
2025-05-09,3293,鈊象電子,27000,1.75
2025-05-09,3702,大聯大控股,342000,1.74
2025-05-09,5904,寶雅國際,45000,1.72
2025-05-09,2610,中華航空,996000,1.68
2025-05-09,3665,貿聯控股（BizLink Holding In,36000,1.65
2025-05-09,3533,嘉澤端子工業,15000,1.4
2025-05-09,2883,凱基金融控股,1101000,1.33
